Product Name,Price,Product Link
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB)","₹12,999",https://www.flipkart.com/oppo-k12x-5g-45w-supervooc-charger-in-the-box-breeze-blue-128-gb/p/itma30cb38861d4c?pid=MOBH2Q4PN6FWZCGV&lid=LSTMOBH2Q4PN6FWZCGVPMAT2I&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&iid=en_YbYvMRI4pC630AEP10tM4q77jwhhiAW5pwgcsrTv3w1fW_MC8v8bXh0RZw_ujap-lau-QM0xRJRxyjTMVKa6kw%3D%3D&ssid=p542x5nrgtb1olj41728902931834&qH=f7a42fe7211f98ac
"CMF by Nothing Phone 1 (Orange, 128 GB)","₹16,499",https://www.flipkart.com/cmf-nothing-phone-1-orange-128-gb/p/itmeef68c7ce70bf?pid=MOBHYBQTZKQKXBAY&lid=LSTMOBHYBQTZKQKXBAYIM6CMX&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&iid=en_YbYvMRI4pC630AEP10tM4q77jwhhiAW5pwgcsrTv3w0ohdfFQHp4Txd-HnCNWqbRXCXUQE54C59QAqf8VCfH0_UFjCTyOHoHZs-Z5_PS_w0%3D&ssid=p542x5nrgtb1olj41728902931834&qH=f7a42fe7211f98ac
"Apple iPhone 15 (Blue, 128 GB)","₹57,999",https://www.flipkart.com/apple-iphone-15-blue-128-gb/p/itmbf14ef54f645d?pid=MOBGTAGPAQNVFZZY&lid=LSTMOBGTAGPAQNVFZZY7RHDU7&marketplace=FLIPKART&q=phone&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&iid=b83cf281-732d-4302-8769-9e5cc987c7d5.MOBGTAGPAQNVFZZY.SEARCH&ssid=p542x5nrgtb1olj41728902931834&qH=f7a42fe7211f98ac
"Apple iPhone 15 Plus (Blue, 128 GB)","₹65,999",https://www.flipkart.com/apple-iphone-15-plus-blue-128-gb/p/itm4022c14383050?pid=MOBGTAGPE4F2HAW7&lid=LSTMOBGTAGPE4F2HAW7NDYSPY&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&iid=b83cf281-732d-4302-8769-9e5cc987c7d5.MOBGTAGPE4F2HAW7.SEARCH&ssid=p542x5nrgtb1olj41728902931834&qH=f7a42fe7211f98ac
"Google Pixel 7a (Snow, 128 GB)","₹31,999",https://www.flipkart.com/google-pixel-7a-snow-128-gb/p/itmb4d7b100b1a4d?pid=MOBGZCQMZXYXCZCH&lid=LSTMOBGZCQMZXYXCZCHTTFGG3&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&iid=en_YbYvMRI4pC630AEP10tM4q77jwhhiAW5pwgcsrTv3w3t9heOU5zmHAJHCdHy-PaOxMIdfKMEazh_Jp-GN3vQz_UFjCTyOHoHZs-Z5_PS_w0%3D&ssid=p542x5nrgtb1olj41728902931834&qH=f7a42fe7211f98ac
"Apple iPhone 15 (Pink, 128 GB)","₹57,999",https://www.flipkart.com/apple-iphone-15-pink-128-gb/p/itm7579ed94ca647?pid=MOBGTAGPNMZA5PU5&lid=LSTMOBGTAGPNMZA5PU51YWTGZ&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&iid=b83cf281-732d-4302-8769-9e5cc987c7d5.MOBGTAGPNMZA5PU5.SEARCH&ssid=p542x5nrgtb1olj41728902931834&qH=f7a42fe7211f98ac
"Apple iPhone 15 (Green, 128 GB)","₹57,999",https://www.flipkart.com/apple-iphone-15-green-128-gb/p/itm235cd318bde73?pid=MOBGTAGPYYWZRUJX&lid=LSTMOBGTAGPYYWZRUJXUGY7PM&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&iid=b83cf281-732d-4302-8769-9e5cc987c7d5.MOBGTAGPYYWZRUJX.SEARCH&ssid=p542x5nrgtb1olj41728902931834&qH=f7a42fe7211f98ac
"Apple iPhone 15 (Black, 128 GB)","₹57,999",https://www.flipkart.com/apple-iphone-15-black-128-gb/p/itm6ac6485515ae4?pid=MOBGTAGPTB3VS24W&lid=LSTMOBGTAGPTB3VS24WVZNSC6&marketplace=FLIPKART&q=phone&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&iid=b83cf281-732d-4302-8769-9e5cc987c7d5.MOBGTAGPTB3VS24W.SEARCH&ssid=p542x5nrgtb1olj41728902931834&qH=f7a42fe7211f98ac
"Motorola Edge 50 Fusion (Marshmallow Blue, 256 GB)","₹23,999",https://www.flipkart.com/motorola-edge-50-fusion-marshmallow-blue-256-gb/p/itmdcb7e2baaaa91?pid=MOBGXTYZBAS4VM8K&lid=LSTMOBGXTYZBAS4VM8KYYUZ0I&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&iid=b83cf281-732d-4302-8769-9e5cc987c7d5.MOBGXTYZBAS4VM8K.SEARCH&ssid=p542x5nrgtb1olj41728902931834&qH=f7a42fe7211f98ac
"Apple iPhone 15 Plus (Black, 128 GB)","₹65,999",https://www.flipkart.com/apple-iphone-15-plus-black-128-gb/p/itme3a53984760fb?pid=MOBGTAGPNRQA7CS3&lid=LSTMOBGTAGPNRQA7CS3L7XK7L&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&iid=b83cf281-732d-4302-8769-9e5cc987c7d5.MOBGTAGPNRQA7CS3.SEARCH&ssid=p542x5nrgtb1olj41728902931834&qH=f7a42fe7211f98ac
"Apple iPhone 15 Plus (Green, 128 GB)","₹65,999",https://www.flipkart.com/apple-iphone-15-plus-green-128-gb/p/itmaa50abb5e6c3b?pid=MOBGTAGPJVGHTAYC&lid=LSTMOBGTAGPJVGHTAYCTGIMN2&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&iid=b83cf281-732d-4302-8769-9e5cc987c7d5.MOBGTAGPJVGHTAYC.SEARCH&ssid=p542x5nrgtb1olj41728902931834&qH=f7a42fe7211f98ac
"Apple iPhone 15 (Blue, 256 GB)","₹67,999",https://www.flipkart.com/apple-iphone-15-blue-256-gb/p/itm986f66c53cae4?pid=MOBGTAGPNEZZY2YR&lid=LSTMOBGTAGPNEZZY2YRE1FCIG&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&iid=b83cf281-732d-4302-8769-9e5cc987c7d5.MOBGTAGPNEZZY2YR.SEARCH&ssid=p542x5nrgtb1olj41728902931834&qH=f7a42fe7211f98ac
